id,item_uuid,name,price,description,image,ingredient,genre,store,country
201,0253116,ファミチキ,180,サクサクッとした衣の食感と、柔らかくてジューシーな鶏肉の旨みが楽しめます。食べやすい骨なしタイプです。,https://www.family.co.jp/content/dam/family/goods/0253116.jpg,鶏肉,フライドチキン,FamilyMart,日本
202,0253925,アメリカンドッグ,118,程よい甘さで、ふんわりした衣が特徴のアメリカンドッグです。,https://www.family.co.jp/content/dam/family/goods/0253925.jpg,豚肉,フランク,FamilyMart,日本
203,0254489,ジャンボフランク,168,ドイツ産岩塩で肉の旨みを引き出した食べごたえある大きなサイズのフランクフルトです。,https://www.family.co.jp/content/dam/family/goods/0254489.jpg,豚肉,フランク,FamilyMart,日本
204,0250009,鶏つくね串,140,鶏肉に玉ねぎと鶏皮を入れたジューシーでふんわりしたつくね串です。,https://www.family.co.jp/content/dam/family/goods/0250009.jpg,鶏肉,焼き鳥,FamilyMart,日本
205,0252867,ハッシュドポテト,108,ホクホクしたザク切りポテトを使用し、具材感ある仕立てにしました。,https://www.family.co.jp/content/dam/family/goods/0252867.jpg,じゃがいも,ポテト,FamilyMart,日本
206,0254755,厚切りハムカツ,138,軽い食感の衣に旨みのある厚切りハムを組み合わせ、ボリューム感のあるハムカツに仕上げました。おかずにもおやつにもなるハムカツです。,https://www.family.co.jp/content/dam/family/goods/0254755.jpg,ハム,カツ,FamilyMart,日本
207,0251730,ジューシーメンチカツ,138,ザクザク衣と肉汁がジュワっとあふれるジューシーなメンチカツです。,https://www.family.co.jp/content/dam/family/goods/0251730.jpg,豚肉,カツ,FamilyMart,日本
208,0253352,炭火焼きとり　もも塩,108,炭火で焼いた鶏のもも肉を、五島灘産の海水塩に北海道産昆布の粉末を加えた特製の塩で仕上げました。おかずにもおつまみにもぴったりな焼きとりです。,https://www.family.co.jp/content/dam/family/goods/0253352.jpg,鶏肉,焼き鳥,FamilyMart,日本
209,0251013,ファミから（塩）1個,98,2種類の塩と3種類のだしを使用し、ごはんのおかずにもおつまみにも合う大粒サイズのからあげです。　,https://www.family.co.jp/content/dam/family/goods/0251013.jpg,鶏肉,からあげ,FamilyMart,日本
210,0250160,ファミから（醤油）1個,98,3種類の醤油を使用し、ごはんのおかずにもおつまみにも合う大粒サイズのからあげです。　,https://www.family.co.jp/content/dam/family/goods/0250160.jpg,鶏肉,からあげ,FamilyMart,日本
211,0250399,炭火焼きとりかわ塩,108,炭火で焼いた鶏のかわを、五島灘の海水塩に北海道産昆布の粉末を加えた特製の塩で仕上げました。おかずにもおつまみにもぴったりな焼きとりです。,https://www.family.co.jp/content/dam/family/goods/0250399.jpg,鶏肉,焼き鳥,FamilyMart,日本
