id,item_uuid,name,price,description,image,ingredient,genre,store,country
1,150047,アメリカンドッグ,131,原材料の高騰により、価格を１００円（税抜）から１２１円（税抜）に変更いたします。サクっとした食感とほんのり甘い風味が特長のアメリカンドッグです。,https://img.7api-01.dp1.sej.co.jp/item-image/150047/1FE6103DFB372C5F1762505627AC60DE.jpg,豚肉,フランク,セブン-イレブン,日本
2,150153,ななチキ,220,ふっくらと食べごたえのある肉食感とジューシーさにこだわりました。肉を美味しく食べるため、肉汁を閉じ込めつつも、口どけが良いサクッと軽い衣で仕上げました。,https://img.7api-01.dp1.sej.co.jp/item-image/150153/F8E472C4EE0970A3BDD7E42E34C8288A.jpg,鶏肉,フライドチキン,セブン-イレブン,日本
3,150394,ふんわりxごろっと 肉まん,140,大きめのサイズにカットした豚肩ロース肉・玉ねぎ・筍・椎茸を使用した、具材の固形感と素材の美味しさあふれる中具を、ふんわりもっちりした生地で包みました。,https://img.7api-01.dp1.sej.co.jp/item-image/150394/D5733DD3DE219FA1C2348227BF20B217.jpg,豚肉,中華まん,セブン-イレブン,日本
4,150093,明太チーズいももち,108,明太子とチーズをもちもち生地で包んだいももちです。さっくり軽い衣で小腹がすいた時にスナック感覚で楽しめる商品に仕上げました。,https://img.7api-01.dp1.sej.co.jp/item-image/150093/8595034D599371061AC4036173EC5D6B.jpg,明太子,変わり種,セブン-イレブン,日本
5,150188,炭火焼き鳥串もも塩,150,まろやかな味が特長の国産の藻塩を使用し、炭火でふっくら香ばしく焼き上げた焼き鳥です。,https://img.7api-01.dp1.sej.co.jp/item-image/150188/A78A01BA30C0466B85D53FF7B046F2F3.jpg,鶏肉,焼き鳥,セブン-イレブン,日本
6,150062,サックサク衣の牛肉コロッケ,100,サクッとした軽い食感とくちどけの良さにこだわった衣を使用しており、北海道産じゃがいもと牛肉の美味しさがしっかり感じられるコロッケです。,https://img.7api-01.dp1.sej.co.jp/item-image/150062/910CA61345C575A2CDEDA68A518369BC.jpg,牛肉,コロッケ,セブン-イレブン,日本
7,150317,ななから（もも）,70,薄衣に仕立て、柔らかジューシーなから揚げです。醤油・生姜・にんにくの味付けでご飯のおかずにもピッタリな味付けに仕上げました。,https://img.7api-01.dp1.sej.co.jp/item-image/150317/97C750B996C11A199090775259DB672B.jpg,鶏肉,からあげ,セブン-イレブン,日本
8,150073,揚げ鶏,220,パリっとした薄衣で肉の旨みを閉じ込めました。おかず、軽食どちらにもおすすめです！,https://img.7api-01.dp1.sej.co.jp/item-image/150073/5A34147F3C5AB30DDF8A10649D102EDD.jpg,鶏肉,フライドチキン,セブン-イレブン,日本
9,150042,からあげ棒,180,ブレンドした醤油で味付けする事で、香ばしい風味のからあげに仕上げました。スナックのような衣のサクサク感が楽しめる片手で食べやすい商品です。,https://img.7api-01.dp1.sej.co.jp/item-image/150042/CD868B71CCF635B622FA0978DBDE952E.jpg,鶏肉,からあげ,セブン-イレブン,日本
10,150213,ビッグアメリカンドッグ,131,原材料の高騰により、価格を１００円（税抜）から１２１円（税抜）に変更いたします。外はカリっと香ばしく、ほんのり甘いバニラの風味が感じられるアメリカンドッグです。,https://img.7api-01.dp1.sej.co.jp/item-image/150213/FFF0E045BFBA39F5220115A8A3D5E7BA.jpg,豚肉,フランク,セブン-イレブン,日本
11,150108,ひら天（小樽造り）,140,小樽の工場で製造したもっちり食感のひら天です。後味が雑味のないスッキリした甘さになっています。,https://img.7api-01.dp1.sej.co.jp/item-image/150108/119EE5994BCF2C90BEA503466D20D9D2.jpg,魚肉,変わり種,セブン-イレブン,日本
12,150152,ななチキレッド,230,ザクザク食感の衣と、唐辛子とガーリックでやみつきになる辛さの美味しいフライドチキンです。,https://img.7api-01.dp1.sej.co.jp/item-image/150152/B82A176B57E7A98B026142CC4161E484.jpg,鶏肉,フライドチキン,セブン-イレブン,日本
13,150227,柿安監修"\r\n"秘伝タレで仕上げた\r和風牛肉ころっけ,95,荒砕きいもを使用し、じゃがいもの美味しさを感じられるコロッケです。秘伝のタレで和風の味付けに仕上げました。,https://img.7api-01.dp1.sej.co.jp/item-image/150227/C745CD4E5286F85DDFD81F20C62D4AA0.jpg,牛肉,コロッケ,セブン-イレブン,日本
14,150181,ガリチキビット,73,衣がガリッ！と楽しいガーリックのパンチある鶏ももフライドチキンです。,https://img.7api-01.dp1.sej.co.jp/item-image/150181/E5C99E68C6D9687A9DFA596C6420972D.jpg,鶏肉,フライドチキン,セブン-イレブン,日本
15,150055,じゃがバターリング\n（北海道産じゃがいも使用）,108,北海道産じゃがいものみを使用しています。小腹がすいたときやおやつ代わりに、片手で気軽に召し上がっていただける新しいスナックです。,https://img.7api-01.dp1.sej.co.jp/item-image/150055/E7CD65ACBD50001AADE7A0B21469136E.jpg,じゃがいも,ポテト,セブン-イレブン,日本
16,150142,サックサク衣のメンチカツ,171,牛肉の旨味を感じられる、油切れの良いあっさりとしたメンチカツです。,https://img.7api-01.dp1.sej.co.jp/item-image/150142/7F5DB4A4B1EBA4F12C9033DADBCF87E5.jpg,豚肉,カツ,セブン-イレブン,日本
17,150075,E`サックサク衣の牛メンチカツ\r\n（大豆ｐｌｕｓ＋）,171,牛肉の旨味を感じられる、油切れの良いあっさりとしたメンチカツです。`,https://img.7api-01.dp1.sej.co.jp/item-image/150075/F9BEB98B904B24C43E3FCAF89F9208AC.jpg,豚肉,カツ,セブン-イレブン,日本
18,150061,のり塩ポテトリング\r\n（北海道産じゃがいも使用）,108,北海道産じゃがいものホクホク感と、適度な塩味と、のりの風味をマッチさせました。見た目の色も形も新しい、売場で目を引く商品です。,https://img.7api-01.dp1.sej.co.jp/item-image/150061/8E0832688FE4B28783D41D64ACD48C5C.jpg,じゃがいも,ポテト,セブン-イレブン,日本
